Titulo,Mision,Rey,Iglesia,Nobleza,Descontento,Influencia,cura,noble,malechor,x,y,start,exito,fallo
Lances de desamor,"Excelencia, traigo nuevas que podrían agitar las aguas de la Corte: se murmura que el acero que dio muerte al Conde de Villamediana no fue movido por razón de Estado, sino por celos de amante despechado. El testimonio es reciente, y aún incierto, mas es cosa grave. ¿Ordenáis que se envíe discreto pesquisidor a indagar, o que se deje el rumor morir por sí solo?",,,1,1,1,,1,1,300,400,3,"El agente ha tenido éxito, Excelencia, y los rumores se han cortado.","Excelencia, el rumor se ha descontrolado como un incendio."
Las posesas de San Plácido,"Excelencia, traigo nuevas inquietantes del convento de San Plácido: se murmura que las monjas endemoniadas no fueron víctimas del Maligno, sino de deseos disfrazados de trance. Testigos de buena reputación sostienen que hubo pecado donde se clamaba posesión, y quien dice testigos dice amigos de los mentideros. ¿Ordenáis enviar pesquisidor discreto, o dejar que el silencio apague la llama?",,1,,1,1,1,,1,430,230,5,"Excelencia, la verdad se ha descubierto y luego encubierto. Ha retornado el orden","Excelencia, los rumores de demonios burladores de monjas se han descontrolado."
El Oro de los Holandeses,"Excelencia, traigo nuevas que inquietan al comercio y al trono: se murmura que la Flota de Indias ha sido capturada por los holandeses en aguas traidoras. No hay aún confirmación oficial, pero si el rumor es cierto, las pérdidas serían cuantiosas y el prestigio de la Corona quedaría herido. ¿Ordenáis enviar pesquisidor a verificar el hecho, o que se contenga la noticia hasta saber más?",1,,,1,1,,1,1,925,120,10,"El agente ha tenido éxito, Excelencia, y los rumores se han cortado.","Excelencia, el rumor se ha descontrolado como un incendio."
La disputa catalana,"Excelencia, se murmura que las Cortes de Barcelona, lejos de avanzar, se han enredado en disputas entre diputados y el cardenal-infante. Hay quien teme que los agravios no resueltos y el rechazo a la Unión de Armas puedan encender el ánimo de la ciudad. Si el rumor se extiende, podría quebrar la imagen de concordia. ¿Ordenáis enviar pesquisidor a indagar, o dejar que el curso natural disipe el alboroto?",1,,,1,1,1,1,,320,310,15,"Excelencia, los rumores han sido contenidos pero los agravios y disputas han encontrado suelo fértil.","Excelencia, el curso natural no ha disipado el alboroto sino que lo ha ampliado."
Otro real bastardo,"Excelencia, corren rumores de alcoba que podrían inquietar la Corte: ha nacido un niño bautizado como Juan y dicen que es hijo ilegítimo de Su Majestad con la histriónia María Calderón. Aunque el infante Baltasar Carlos es heredero legítimo, esta nueva criatura, si se reconoce, podría despertar habladurías sobre el linaje y la honra real. ¿Ordenáis que se indague discretamente, o que se deje el asunto en la sombra?",1,,,1,1,,1,1,530,410,20,"El agente ha tenido éxito, Excelencia,y los rumores se han cortado. El infante ha sido entregado a los franciscanos y vivirá una vida cristiana y anónima.","Excelencia, el rumor se ha descontrolado como un incendio y se ha tenido que obrar de la mejor forma. El infante ha sido entregado a una familia de confianza para su educación como príncipe."
Vizcainos tumultuosos,"Excelencia, corren rumores inquietantes desde Vizcaya: se dice que tales gentes se han alzado contra los nuevos impuestos sobre la sal, clamando que son injustos y ruinosos. Se habla de tumultos en las plazas, de cargamentos retenidos y de alguaciles apedreados. Aunque aún no hay parte oficial, si el desorden se extiende podría afectar al comercio y encender otras provincias. ¿Ordenáis enviar pesquisidor a indagar discretamente, o que se deje al corregidor sofocar el alboroto por su cuenta?",1,,,1,1,1,,1,305,320,25,"Excelencia, los tumultos siguen pero no se expanden al cortarse los rumores con más rumores","Excelencia, sube el descontento y por todos los reinos se habla de impuestos injustos y se apalean alguaciles."
L'agravi de Sa Majestat,"Excelencia, corren rumores inquietantes en Valencia con motivo de la visita de Su Majestad Felipe IV: se dice que hay quien, movido por agravios o ideas peligrosas, podría faltar a la honra del Rey en público. Aunque no hay pruebas aún, la ciudad bulle de lenguas sueltas y miradas torvas, un ventorro de mala fé. Si el rumor prende, podría empañar el recibimiento real y poner en riesgo la dignidad de la Corona. ¿Ordenáis enviar pesquisidor discreto, o dejar que la jornada siga sin alboroto?",1,,,1,1,1,1,,340,340,30,"Excelencia, los rumores se han cortado junto a varias gargantas. La dignidad de su Majestad no corre peligro de ser arrastrado por el suelo.","Excelencia, el descontento es real y el recibimiento a su Majestad ha sido tan torvo, frío y hostil como nos temíamos."
Serpientes en misa y fuego sin quemadura,"Excelencia, llegan voces inquietantes desde el valle de Tena, en los Pirineos de Huesca: se dice que varias mujeres han sido vistas reptando como serpientes en la iglesia, lanzándose al fuego sin daño y vomitando objetos imposibles. El clero local habla de posesión diabólica, y el vulgo ya teme que el Maligno haya hecho nido en la comarca. ¿Ordenáis enviar pesquisidor a verificar tales prodigios, o que se deje al obispo resolver el asunto?",,1,,1,1,1,,,830,330,35,"Excelencia, no hay ni posesas y diablos y el clero ha sido convencido de que controlen tales rumores.","Excelencia, las posesas y los diablos son tan reales ¡o eso afirman nuestro informes! Domine, defende nos."
Los viles oficios,"Excelencia, se ha sabido que el Consell de Cent ha solicitado excluir de cargos públicos a ciertos oficios que juzga viles: carniceros, músicos, taberneros… El vulgo murmura que se desprecia al pueblo llano, y hay cofradías que amenazan con alzarse. Si el rumor se extiende, podría quebrar la paz municipal. ¿Ordenáis enviar pesquisidor a tomar el pulso, o que se deje al municipio resolver sus jerarquías?",,,,2,1,,,1,530,410,36,"Excelencia, se ha controlado el descontento no sin alto coste.","Excelencia, el vulgo está furioso y la paz municipal ahora es anarquía."
La gran disputa catalana,"Excelencia, corren voces en Barcelona que el préstamo de 110.000 libras exigido para el viaje real ha causado gran descontento. Algunos lo llaman expolio encubierto, y hay quien dice que las rentas del patrimonio real no bastarán para cubrirlo. Si el rumor prende, podría agitar al Consell de Cent y a los menestrales. ¿Ordenáis que se investigue el alcance del malestar, o que se deje en manos del virrey?",,1,,1,1,,1,,800,310,40,"Excelencia, la investigación ha concluido. Se conoce el alcance del problema y su magnitud sobrepasa lo imaginado mas sabemos como actuar.","Excelencia, el Consell de Cent y los menestrales no están ya agitados, sino que están clamando contra la católica monarquía."
