Tiruto,Mision,Rey,Iglesia,Nobleza,Descontento,Influencia,cura,noble,malechor,x,y,start,,,,,,,,,,,
,,7,7,7,-140,180,12,13,13,,,,,,,,,,,,,,
Lances de desamor,"Excelencia, traigo nuevas que podrían agitar las aguas de la Corte: se murmura que el acero que dio muerte al Conde de Villamediana no fue movido por razón de Estado, sino por celos de amante despechado. El testimonio es reciente, y aún incierto, mas es cosa grave. ¿Ordenáis que se envíe discreto pesquisidor a indagar, o que se deje el rumor morir por sí solo?",,,1,-5,5,,1,1,530,410,10,,,,,,,,,,,530 410
Las posesas de San Plácido,"Excelencia, traigo nuevas inquietantes del convento de San Plácido: se murmura que las monjas endemoniadas no fueron víctimas del Maligno, sino de deseos disfrazados de trance. Testigos de buena reputación sostienen que hubo pecado donde se clamaba posesión, y quien dice testigos dice amigos de los mentideros. ¿Ordenáis enviar pesquisidor discreto, o dejar que el silencio apague la llama?",,1,,-5,5,1,,1,830,330,15,,,,,,,,,,,325 320
El Oro de los Holandeses,"Excelencia, traigo nuevas que inquietan al comercio y al trono: se murmura que la Flota de Indias ha sido capturada por los holandeses en aguas traidoras. No hay aún confirmación oficial, pero si el rumor es cierto, las pérdidas serían cuantiosas y el prestigio de la Corona quedaría herido. ¿Ordenáis enviar pesquisidor a verificar el hecho, o que se contenga la noticia hasta saber más?",1,,,-5,5,,1,1,325,320,20,,,,,,,,,,,830 330
Otro real bastardo,"Excelencia, corren rumores de alcoba que podrían inquietar la Corte: ha nacido un niño bautizado como Juan y dicen que es hijo ilegítimo de Su Majestad con la histriónia María Calderón. Aunque el infante Baltasar Carlos es heredero legítimo, esta nueva criatura, si se reconoce, podría despertar habladurías sobre el linaje y la honra real. ¿Ordenáis que se indague discretamente, o que se deje el asunto en la sombra?",1,,,-5,5,,1,1,530,410,25,,,,,,,,,,,920 390
Vizcainos tumultuosos,"Excelencia, corren rumores inquietantes desde Vizcaya: se dice que tales gentes se han alzado contra los nuevos impuestos sobre la sal, clamando que son injustos y ruinosos. Se habla de tumultos en las plazas, de cargamentos retenidos y de alguaciles apedreados. Aunque aún no hay parte oficial, si el desorden se extiende podría afectar al comercio y encender otras provincias. ¿Ordenáis enviar pesquisidor a indagar discretamente, o que se deje al corregidor sofocar el alboroto por su cuenta?",1,,,-5,5,1,,1,325,320,30,,,,,,,,,,,
L'agravi de Sa Majestat,"Excelencia, corren rumores inquietantes en Valencia con motivo de la visita de Su Majestad Felipe IV: se dice que hay quien, movido por agravios o ideas peligrosas, podría faltar a la honra del Rey en público. Aunque no hay pruebas aún, la ciudad bulle de lenguas sueltas y miradas torvas, un ventorro de mala fé. Si el rumor prende, podría empañar el recibimiento real y poner en riesgo la dignidad de la Corona. ¿Ordenáis enviar pesquisidor discreto, o dejar que la jornada siga sin alboroto?",1,,,-5,5,1,1,,325,320,35,,,,,,,,,,,
La disputa catalana,"Excelencia, se murmura que las Cortes de Barcelona, lejos de avanzar, se han enredado en disputas entre diputados y el cardenal-infante. Hay quien teme que los agravios no resueltos y el rechazo a la Unión de Armas puedan encender el ánimo de la ciudad. Si el rumor se extiende, podría quebrar la imagen de concordia. ¿Ordenáis enviar pesquisidor a indagar, o dejar que el curso natural disipe el alboroto?",1,,,-5,5,1,1,,325,320,40,,,,,,,,,,,
La gran disputa catalana,"Excelencia, corren voces en Barcelona que el préstamo de 110.000 libras exigido para el viaje real ha causado gran descontento. Algunos lo llaman expolio encubierto, y hay quien dice que las rentas del patrimonio real no bastarán para cubrirlo. Si el rumor prende, podría agitar al Consell de Cent y a los menestrales. ¿Ordenáis que se investigue el alcance del malestar, o que se deje en manos del virrey?",,1,,-5,5,,1,,830,330,45,,,,,,,,,,,
Los viles oficios ,"Excelencia, se ha sabido que el Consell de Cent ha solicitado excluir de cargos públicos a ciertos oficios que juzga viles: carniceros, músicos, taberneros… El vulgo murmura que se desprecia al pueblo llano, y hay cofradías que amenazan con alzarse. Si el rumor se extiende, podría quebrar la paz municipal. ¿Ordenáis enviar pesquisidor a tomar el pulso, o que se deje al municipio resolver sus jerarquías?",,,,-10,5,,,1,530,410,50,,,,,,,,,,,
